epoch;accuracy;loss
0;0.0;inf
1;0.0;inf
2;0.0;inf
3;0.0;inf
4;0.0;inf
5;0.0;inf
6;0.0;inf
7;0.0;inf
8;0.0;inf
9;0.0;inf
10;0.0;inf
11;0.0;inf
12;0.0;inf
13;0.0;inf
14;0.0;inf
15;0.0;inf
16;0.0;inf
17;0.0;inf
18;0.0;inf
19;0.0;inf
20;0.0;inf
21;0.0;inf
22;0.0;inf
23;0.0;inf
24;0.0;inf
25;0.0;inf
26;0.0;inf
27;0.0;inf
28;0.0;inf
29;0.0;inf
30;0.0;inf
31;0.0;inf
32;0.0;inf
33;0.0;inf
34;0.0;inf
35;0.0;inf
36;0.0;inf
37;0.0;inf
38;0.0;inf
39;0.0;inf
40;0.0;inf
41;0.0;inf
42;0.0;inf
43;0.0;inf
44;0.0;inf
45;0.0;inf
46;0.0;inf
47;0.0;inf
48;0.0;inf
49;0.0;inf
50;0.0;inf
51;0.0;inf
52;0.0;inf
53;0.0;inf
54;0.0;inf
55;0.0;inf
56;0.0;inf
57;0.0;inf
58;0.0;inf
59;0.0;inf
60;0.0;inf
61;0.0;inf
62;0.0;inf
63;0.0;inf
64;0.0;inf
65;0.0;inf
66;0.0;inf
67;0.0;inf
68;0.0;inf
69;0.0;inf
70;0.0;inf
71;0.0;inf
72;0.0;inf
73;0.0;inf
74;0.0;inf
75;0.0;inf
76;0.0;inf
77;0.0;inf
78;0.0;inf
79;0.0;inf
80;0.0;inf
81;0.0;inf
82;0.0;inf
83;0.0;inf
84;0.0;inf
85;0.0;inf
86;0.0;inf
87;0.0;inf
88;0.0;inf
89;0.0;inf
90;0.0;inf
91;0.0;inf
92;0.0;inf
93;0.0;inf
94;0.0;inf
95;0.0;inf
96;0.0;inf
97;0.0;inf
98;0.0;inf
99;0.0;inf
100;0.0;inf
101;0.0;inf
102;0.0;inf
103;0.0;inf
104;0.0;inf
105;0.0;inf
106;0.0;inf
107;0.0;inf
108;0.0;inf
109;0.0;inf
110;0.0;inf
111;0.0;inf
112;0.0;inf
113;0.0;inf
114;0.0;inf
115;0.0;inf
116;0.0;inf
117;0.0;inf
118;0.0;inf
119;0.0;inf
120;0.0;inf
121;0.0;inf
122;0.0;inf
123;0.0;inf
124;0.0;inf
125;0.0;inf
126;0.0;inf
127;0.0;inf
128;0.0;inf
129;0.0;inf
130;0.0;inf
131;0.0;inf
132;0.0;inf
133;0.0;inf
134;0.0;inf
135;0.20000000298023224;inf
136;0.20000000298023224;inf
137;0.20000000298023224;inf
138;0.20000000298023224;inf
139;0.20000000298023224;inf
