Name of Event,Category,Date(s),Location,Estimated Size of Event,Number of People/ Capacity of Space,Source for # People,Source Org Title,Article Title,Mention of Police Presence (Y/N),Source for police presence,Official Media Presence,Notes_x,Source 1 URL,Source 2 URL,Address,Venue Capacity,Venue Type,Completed,Main Source for Search,Notes_y,Source,Latitude,Longitude
LANY,Music,2018-08-01 00:00:00,Bottom Lounge,Small,330,https://bottomlounge.com/bottom-lounge-for-private-events/,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=155#concert-table,,,,,,,,,,
Grace Weber / Malcolm London - Lollapalooza Afterwshow,Music,2018-08-01 00:00:00,Lincoln Hall,Medium,500,https://chicagomusic.fandom.com/wiki/Lincoln_Hall,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=155#concert-table,,,,,,,,,,
Chase Atlantic,Music,2018-08-01 00:00:00,Reggies,Small,300,https://www.songkick.com/concerts/39931428-dri-at-reggies-rock-club,Concert Archives,Chicago's Concert History,,,,"venue looks somewhat small, so I don't think this was a very big event",https://www.concertarchives.org/locations/chicago-il?page=155#concert-table,,,,,,,,,,
Alison Wonderland,Music,2018-08-24 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/alison-wonderland-263fc0f4-b14f-40a6-8e0e-27d7025c852f,https://www.jambase.com/show/alison-wonderland-aragon-ballroom-20180824,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
"Virtual Self ""Utopia System""",Music,2018-09-07 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/virtual-self-utopia-system,https://www.chicago-theater.com/theaters/aragon-ballroom/porter-robinson-virtual-self.php,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
The Spill Canvas / Punchline / Selfish Things,Music,2018-08-11 00:00:00,Bottom Lounge,,330,https://bottomlounge.com/bottom-lounge-for-private-events/,Concert Archives,The Spill Canvas / Punchline / Selfish Things,,,,,https://www.concertarchives.org/concerts/the-spill-canvas-punchline-selfish-things-139ead0d-3dad-4e75-b9a7-c401c1e5a00a,,,,,,,,,,
5 Seconds of Summer / The Aces,Music,2018-09-08 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/5-seconds-of-summer-the-aces,https://www.setlist.fm/setlist/5-seconds-of-summer/2018/aragon-ballroom-chicago-il-6be9ba92.html,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Franz Ferdinand / The Slaps,Music,2018-08-01 00:00:00,Park West,Medium,1000,https://www.eventective.com/chicago-il/park-west-402711.html,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/concerts/franz-ferdinand-the-slaps,https://do312.com/events/2018/8/1/franz-ferdinand,"322 W Armitage Ave, Chicago, IL 60614",1000.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://www.eventective.com/chicago-il/park-west-402711.html,41.918567,-87.637434
Cloud Nothings at Goose Island,Music,2018-08-02 00:00:00,Goose Island - Fulton Street,Small,225,https://www.gooseisland.com/barrel-house,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=154#concert-table,,,,,,,,,,
SIGRID W/ HOUSES,Music,2019-08-01 00:00:00,Thalia Hall,Medium,800,https://www.bizbash.com/venue-directory/independent-event-spaces/venue/13468073/thalia-hall,,,,,,,https://do312.com/events/2019/8/1/sigrid-w-houses,https://www.312area.com/chicago/little-italy/events/406495/sigrid-with-houses---official-lollapalooza-aftershow-%40-thalia-hall.htm,"1807 S Allport St, Chicago, IL 60608",800.0,Music,Yes,"Concert Archives, do312, ESPN",,https://www.bizbash.com/venue-directory/independent-event-spaces/venue/13468073/thalia-hall,41.857681,-87.657392
JUDAH & THE LION W/ THE BAND CAMINO,Music,2019-08-02 00:00:00,Thalia Hall,Medium,800,https://www.bizbash.com/venue-directory/independent-event-spaces/venue/13468073/thalia-hall,,,,,,,https://do312.com/events/2019/8/2/judah-the-lion-w-the-band-camino,https://discover.events.com/us/illinois/chicago/e/music/judah-lion-band-camino-lollapalooza-aftershow-thalia-hall-312958100,"1807 S Allport St, Chicago, IL 60608",800.0,Music,Yes,"Concert Archives, do312, ESPN",,https://www.bizbash.com/venue-directory/independent-event-spaces/venue/13468073/thalia-hall,41.857681,-87.657392
Lolla After Show 2018 - Parquet Courts,Music,2018-08-02 00:00:00,Thalia Hall,Medium,800,https://www.bizbash.com/venue-directory/independent-event-spaces/venue/13468073/thalia-hall,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=154#concert-table,,"1807 S Allport St, Chicago, IL 60608",800.0,Music,Yes,"Concert Archives, do312, ESPN",,https://www.bizbash.com/venue-directory/independent-event-spaces/venue/13468073/thalia-hall,41.857681,-87.657392
Slaves (UK),Music,2018-08-02 00:00:00,The Empty Bottle,Small,400,"https://www.emptybottle.com/store/the-empty-bottle-chicago-21-years-music-friendly-dancing#:~:text=Chicago%20promoter%20Andy%20Cirzan%20calls,adventurous%20musicians%20and%20their%20fans.%E2%80%9D",Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=154#concert-table,,,,,,,,,,
Leon Bridges / Khruangbin,Music,2018-09-24 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/leon-bridges-khruangbin,https://thesedaysmag.com/calendar/sept-24-leon-bridges-good-thing-tour-with-khruangbin-aragon-ballroom-chicago,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
IRATION: PRESS PLAY FALL TOUR 2018,Music,2018-09-28 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://do312.com/events/2018/9/28/iration-press-play-fall-tour-2018,https://www.irationmusic.com/tour-dates/chicago,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Jungle / Superorganism - Lollapalooza 2018 After Show,Music,2018-08-02 00:00:00,Park West,Medium,1000,https://www.eventective.com/chicago-il/park-west-402711.html,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/concerts/lollapalooza-2018-after-show,https://do312.com/events/2018/8/2/jungle-w-superorganism,"322 W Armitage Ave, Chicago, IL 60614",1000.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://www.eventective.com/chicago-il/park-west-402711.html,41.918567,-87.637434
Tower of Power,Music,2018-08-10 00:00:00,City Winery Chicago,Small,,,Concert Archives,Tower of Power,,,,,https://www.concertarchives.org/concerts/tower-of-power--8,,,,,,,,,,
Lollapalooza Aftershow - Highly Supsect / cleopatrick,Music,2018-08-02 00:00:00,Vic Theatre,Medium,1000,"http://fourteeneastmag.com/index.php/2017/09/14/the-vic-theatre-an-intimate-slice-of-history/#:~:text=opened%20in%201912.-,Designed%20by%20architect%20J.E.O.,a%201%2C000%20people%20maximum%20capacity.",Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=154#concert-table,,"3145 N Sheffield Ave, Chicago, IL 60657",1000.0,Music,,,,"http://fourteeneastmag.com/index.php/2017/09/14/the-vic-theatre-an-intimate-slice-of-history/#:~:text=opened%20in%201912.-,Designed%20by%20architect%20J.E.O.,a%201%2C000%20people%20maximum%20capacity.",41.939566,-87.653749
Post Animal Aftershow,Music,2018-08-02 00:00:00,Virgin Hotel,Small,120,https://www.travelweekly.com/Hotels/Chicago/Virgin-Hotel-Chicago/Meetings-Events-p7958867,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=154#concert-table,,,,,,,,,,
A Boogie Wit Da Hoodie / Femdot,Music,2018-08-03 00:00:00,Bottom Lounge,Small,330,https://bottomlounge.com/bottom-lounge-for-private-events/,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=153#concert-table,,,,,,,,,,
Curtis Harding / Tatiana Hazel,Music,2018-08-03 00:00:00,The Empty Bottle,Small,400,"https://www.emptybottle.com/store/the-empty-bottle-chicago-21-years-music-friendly-dancing#:~:text=Chicago%20promoter%20Andy%20Cirzan%20calls,adventurous%20musicians%20and%20their%20fans.%E2%80%9D",Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=152#concert-table,,,,,,,,,,
Walk the Moon - Lallapalooza Aftershow,Music,2018-08-03 00:00:00,Headquarters Beercade,Medium,750,https://www.eventective.com/chicago-il/headquarters-beercade-river-north-643987.html,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=152#concert-table,,,,,,,,,,
Basement / Montrose Man,Music,2018-08-03 00:00:00,Reggies,Small,300,https://www.songkick.com/concerts/39931428-dri-at-reggies-rock-club,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=152#concert-table,,,,,,,,,,
Lollapalooza 2018,Music,8/2/2018-8/5/2018,Grant Park,Large,105000 per day,https://chicago.suntimes.com/2018/8/6/18444782/12-arrested-160-hospitalized-during-lollapalooza-2018,Concert Archives,Chicago's Concert History,Y,https://chicago.suntimes.com/2018/8/6/18444782/12-arrested-160-hospitalized-during-lollapalooza-2018,Y,12 arrests,https://www.concertarchives.org/locations/chicago-il?page=155#concert-table,,"331 E. Randolph St. Chicago, IL 60601",100000.0,"Music, Events",Yes,do312,,https://www.jambase.com/venue/grant-park,41.872182,-87.618746
Northalstead Market Days,Music,8/11/2018-8/12/2018,Halstead Street,Medium,,,Concert Archives,Northalsted Market Days,,,,,https://www.concertarchives.org/concerts/northalsted-market-days,,,,,,,,,,
The Aces / A R I Z O N A,Music,2018-08-03 00:00:00,Subterranean,Small,375,https://www.subt.net/private-parties/,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=153#concert-table,,,,,,,,,,
Tank and the Bangas,Music,2018-08-03 00:00:00,Thalia Hall,Medium,800,https://www.bizbash.com/venue-directory/independent-event-spaces/venue/13468073/thalia-hall,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=152#concert-table,https://do312.com/events/2018/8/3/tank-and-the-bangas-w-durand-jones,"1807 S Allport St, Chicago, IL 60608",800.0,Music,Yes,"Concert Archives, do312, ESPN",,https://www.bizbash.com/venue-directory/independent-event-spaces/venue/13468073/thalia-hall,41.857681,-87.657392
BØRNS,Music,2018-09-30 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/borns--45,https://www.jambase.com/show/borns-aragon-ballroom-20180930,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Sting / Shaggy,Music,2018-10-02 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/sting-shaggy-dff41d42-ed09-4c5c-bfda-f0e0f8c5e7e4,https://www.setlist.fm/setlist/sting-and-shaggy/2018/aragon-ballroom-chicago-il-73e91281.html,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Carley Rae Jepsen / morgxn,Music,2018-08-03 00:00:00,Park West,Medium,1000,https://www.eventective.com/chicago-il/park-west-402711.html,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/bands/carly-rae-jepsen?page=4,https://do312.com/events/2018/8/3/carly-rae-jespen-w-charlotte-cardin,"322 W Armitage Ave, Chicago, IL 60614",1000.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://www.eventective.com/chicago-il/park-west-402711.html,41.918567,-87.637434
ZHU / TOKiMONSTA,Music,2018-10-05 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/zhu-tokimonsta-d5ae8033-fa9f-4a3f-838a-fc49bfaa6eca,https://www.jambase.com/band/zhu/tour-history/2018,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Dua Lipa / Buddy,Music,2018-08-03 00:00:00,Vic Theatre,Medium,1000,"http://fourteeneastmag.com/index.php/2017/09/14/the-vic-theatre-an-intimate-slice-of-history/#:~:text=opened%20in%201912.-,Designed%20by%20architect%20J.E.O.,a%201%2C000%20people%20maximum%20capacity.",Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=152#concert-table,,"3145 N Sheffield Ave, Chicago, IL 60657",1000.0,Music,,,,"http://fourteeneastmag.com/index.php/2017/09/14/the-vic-theatre-an-intimate-slice-of-history/#:~:text=opened%20in%201912.-,Designed%20by%20architect%20J.E.O.,a%201%2C000%20people%20maximum%20capacity.",41.939566,-87.653749
Lizzo / Davie,Music,2018-08-04 00:00:00,Bottom Lounge,Small,330,https://bottomlounge.com/bottom-lounge-for-private-events/,Concert Archives,Lizzo / Davie,,,,,https://www.concertarchives.org/concerts/lizzo-davie,,,,,,,,,,
Cigarettes After Sex,Music,2018-08-04 00:00:00,Lincoln Hall,Medium,500,https://chicagomusic.fandom.com/wiki/Lincoln_Hall,Concert Archives,Cigarettes After Sex,,,,,https://www.concertarchives.org/concerts/cigarettes-after-sex--25,,,,,,,,,,
Playboi Carti,Music,2018-08-04 00:00:00,Prysm Nightclub,Medium,850,"https://www.prysmchicago.com/info/about#:~:text=With%20a%20total%20capacity%20of,ambiance%20for%20large%20scale%20events.",Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=152#concert-table,,,,,,,,,,
Lollapalooza After Party,Music,2018-08-04 00:00:00,Reggies,Small,300,https://www.songkick.com/concerts/39931428-dri-at-reggies-rock-club,Concert Archives,Lollapalooza After Party,,,,,https://www.concertarchives.org/concerts/lollapalooza-after-party,,,,,,,,,,
Lollapalooza 2018 Aftershow,Music,2018-08-04 00:00:00,Schubas Tavern,Small,250,https://eventup.com/venue/schubas-tavern-3/,Concert Archives,Lollapalooza 2018 Aftershow,,,,,https://www.concertarchives.org/concerts/lollapalooza-2018-aftershow-44115005-f42b-4786-9d9f-71d5ecaa8f19,,,,,,,,,,
Busta Rhymes,Music,2018-08-04 00:00:00,Studio Paris,Medium,500,https://ra.co/clubs/73029,Concert Archives,Busta Rhymes,,,,,https://www.concertarchives.org/concerts/busta-rhymes-4ce22ea0-ae0c-419c-bd98-98dca81c9757,,,,,,,,,,
Rex Orange County,Music,2018-08-04 00:00:00,Subterranean,Small,375,https://www.subt.net/private-parties/,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=152#concert-table,,,,,,,,,,
Lolla After Show 2018 - Post Animal,Music,2018-08-04 00:00:00,The Empty Bottle,Small,400,"https://www.emptybottle.com/store/the-empty-bottle-chicago-21-years-music-friendly-dancing#:~:text=Chicago%20promoter%20Andy%20Cirzan%20calls,adventurous%20musicians%20and%20their%20fans.%E2%80%9D",Concert Archives,Lolla After Show 2018 - Post Animal,,,,,https://www.concertarchives.org/concerts/lolla-after-show-2018-post-animal,,,,,,,,,,
Umphrey's McGee,Music,2018-10-06 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/umphrey-s-mcgee--75,https://www.setlist.fm/setlist/umphreys-mcgee/2018/aragon-ballroom-chicago-il-63e95ed3.html,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
NF - PERCEPTION TOUR,Music,2018-10-07 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://do312.com/events/2018/10/7/nf-perception-tour,https://www.bandsintown.com/e/100020110-nf-at-aragon-ballroom,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
COLORS PRESENTS R&B ONLY,Music,2018-10-13 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://do312.com/events/2018/10/13/colors-presents-r-b-only,https://www.chicago-theater.com/theaters/aragon-ballroom/tickets.php?buy=true&cmsEventId=0&utc=1539460800&eventName=R%26B+Only+%2818%2B+Event%29&theatreName=Aragon+Ballroom&vsShowId=2831570&floorImg=,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
88rising / Rich Brian / Joji / HIGHER BROTHERS 海爾兄弟 / Keith Ape / KOHH / NIKI / AUGUST 08,Music,2018-10-14 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/88rising-rich-brian-joji-higher-brothers-keith-ape-kohh-niki-august-08-f7e7e6f0-5dc9-4f4b-bcaa-6e59ee5d1906,https://www.chicago-theater.com/theaters/aragon-ballroom/88rising-tour-with-rich-brian.php,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Chromeo (DJ Set),Music,2018-08-05 00:00:00,Prysm Nightclub,Medium,850,"https://www.prysmchicago.com/info/about#:~:text=With%20a%20total%20capacity%20of,ambiance%20for%20large%20scale%20events.",Concert Archives,Chromeo (DJ Set),,,,,https://www.concertarchives.org/concerts/chromeo-dj-set,,,,,,,,,,
Hot Flash Heat Wave,Music,2018-08-05 00:00:00,Subterranean,Small,375,https://www.subt.net/private-parties/,Concert Archives,Hot Flash Heat Wave,,,,,https://www.concertarchives.org/concerts/hot-flash-heat-wave,,,,,,,,,,
Summer Salt,Music,2018-08-05 00:00:00,Subterranean,Small,375,https://www.subt.net/private-parties/,Concert Archives,Summer Salt,,,,,https://www.concertarchives.org/concerts/summer-salt--2,,,,,,,,,,
Zeds Dead / Barely Alive,Music,10/19/2018 - 10/20/2018,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/zeds-dead-barely-alive,https://edmidentity.com/2018/10/09/zeds-dead-deadbeats-chicago/,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
The Curls / Peach Fuzz / The Strawberry Jacuzzi,Music,2018-08-07 00:00:00,Sleeping Village ,Small,350,https://www.10best.com/destinations/illinois/chicago/avondale/nightlife/sleeping-village/,Concert Archives,The Curls / Peach Fuzz / The Strawberry Jacuzzi,,,,,https://www.concertarchives.org/concerts/the-curls-with-peach-fuzz-and-the-strawberry-jacuzzi-at-sleeping-village-august-7-2018--2,,,,,,,,,,
DEADBEATS: ZEDS DEAD,Music,2018-10-20 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://do312.com/events/2018/10/20/deadbeats-zeds-dead,https://www.pollstar.com/event/zeds-dead-7403361,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Cold and Black and Infinite North America 2018,Music,10/25/2018 - 10/27/2018,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/cold-and-black-and-infinite-north-america-2018,https://beintheloopchicago.com/?tribe_events=nine-inch-nails-cold-and-black-and-infinite-north-america-2018-feat-jesus-and-mary-chain-death-in-vegas-aragon-ballroom,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
NINE INCH NAILS W/ THE JESUS AND MARY CHAIN,Music,10/26/2018 - 10/27/2018,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://do312.com/events/2018/10/26/nine-inch-nails-w-the-jesus-and-mary-chain-1525963224,https://www.jambase.com/show/nine-inch-nails-aragon-ballroom-20181026,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
BROCKHAMPTON,Music,2018-10-28 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/brockhampton-at-aragon-ballroom-october-28-2018,https://www.jambase.com/show/brockhampton-aragon-ballroom-20181028,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Ween,Music,2018-10-31 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/ween-21f16493-0e61-463d-821b-8643ce276004,https://www.setlist.fm/setlist/ween/2018/aragon-ballroom-chicago-il-1b9609cc.html,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
A Pale Tour Named Death,Music,2018-11-01 00:00:00,Aragon Ballroom,,4800,https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,,,,,,,https://www.concertarchives.org/concerts/a-pale-tour-named-death,https://www.setlist.fm/setlist/ghost/2018/aragon-ballroom-chicago-il-139601ed.html,"1106 W Lawrence Ave, Chicago, IL 60640",4800.0,Event Space,Yes,"Concert Archives, do312","this list is likely not comprehensive, but includes available information from do312  and attempts to find other archives through google",https://www.bizbash.com/venues-destinations/united-states/chicago/media-gallery/13478912/10-biggest-venues-for-events-and-meetings-in-chicago,41.969436,-87.658038
Bogues / Pinpoint / Levi The Poet / Willow Tree,Music,2018-08-08 00:00:00,Cobra Lounge,Small,300,https://www.jambase.com/venue/cobra-lounge-chicago-il-us,Concert Archives,Bogues / Pinpoint / Levi The Poet / Willow Tree,,,,,https://www.concertarchives.org/concerts/bogues-pinpoint-levi-the-poet-willow-tree,,,,,,,,,,
Wolf Parade / Torres / Lala Lala,Music,2018-08-08 00:00:00,House of Vans,Medium,500,https://www.dnainfo.com/chicago/20170124/west-loop/house-of-vans-west-loop-chicago-skate-park/,Concert Archives,Wolf Parade / Torres / Lala Lala,,,,,https://www.concertarchives.org/concerts/wolf-parade-with-torres-and-lala-lala-at-house-of-vans-august-8-2018,,,,,,,,,,
