seed,pass,batch,ID,is_finite,wrd
1986,first,0,25330,True,REGIONAL FALCON NINE HUNDRED SIERRA JULIET WITH YOU ONE ONE THOUSAND
1986,first,0,17436,True,PENN THIRTY SIX THIRTY FOUR CANCEL TAKEOFF CLEARANCE HOLD SHORT OF RUNWAY THREE
1986,first,0,22184,True,EIGHT THOUSAND AND STANDING BY FOR THE RIGHT TURN
1986,first,0,5416,True,NERA THIRTY SEVEN SIXTY ONE BOSTON DEPARTURE RADAR CONTACT CLIMB AND MAINTAIN FOUR THOUSAND
1986,first,0,293,True,O K THANK YOU CLEAR I L S TWO SEVEN PORTUGAL THREE TWO TWO HEAVY
1986,first,0,15531,True,SEVENTEEN SIXTY NINE CONTACT GROUND POINT SEVEN
1986,first,0,25379,True,(UNINTELLIGIBLE) ONE ONE THOUSAND KILO
1986,first,0,29075,True,HUSTLER TWELVE FORTY TWO TAXI AH VIA THE OUTER TO THE RAMP
1986,first,0,4308,True,DEPARTURE GOOD EVENING BIZEX THREE SEVENTY SEVEN IS OUT OF AH EIGHT HUNDRED FEET
1986,first,0,19830,True,AMERICAN FOURTEEN NINETY SEVEN TURN RIGHT HEADING THREE ONE ZERO MAINTAIN THREE THOUSAND
1986,first,0,28937,True,CROSS THE LEFT SIDE AND AH GO TO GROUND AMERICAN TWELVE SEVENTY
1986,first,0,28815,True,DELTA ONE NINETY NINE HEAVY REGIONAL TOWER ROGER FOLLOWING A PROP TRAFFIC THREE MILES AHEAD IF AH PRACTICAL REDUCE SPEED TO ONE FIVE ZERO CLEARED TO LAND RUNWAY ONE EIGHT RIGHT WIND ONE FIVE ZERO AT SIX
1986,first,0,27109,True,ONE EIGHT LEFT VIA NINETEEN TWELVE THIRTY FIVE
1986,first,0,17441,True,BARON EIGHT EIGHT ROMEO WASHINGTON TOWER WIND CALM CLEARED TO LAND RUNWAY THREE SIX
1986,first,0,6656,True,LEAR SIX EIGHT FOUR LIMA ALPHA BOSTON TOWER CROSS RUNWAY TWO TWO RIGHT AND CONTACT GROUND POINT NINE TRAFFIC WILL HOLD IN POSITION
1986,first,0,6962,True,AH THREE ZERO NOVEMBER AH I BELIEVE I HAVE IT
1986,first,0,1964,True,NORTHWEST ELEVEN SIXTY FOUR SWITCHING OVER GOOD DAY
1986,first,0,29752,True,CROSS ONE EIGHT RIGHT HOLD SHORT OF ONE EIGHT LEFT DELTA TEN NINETY EIGHT
1986,first,0,7844,True,BOSTON APPROACH CONTINENTAL THREE FORTY FOUR WITH YOU ELEVEN THOUSAND ALPHA
1986,first,0,24927,True,METRO EIGHT TWENTY FOUR TURN LEFT HEADING OF ZERO ONE ZERO CONTACT APPROACH ONE THREE TWO POINT ONE
1986,first,0,25835,True,AMERICAN SIX EIGHTEEN DESCEND AND MAINTAIN FIVE THOUSAND
1986,first,0,9263,True,OUT OF THREE FOR NINER TWO THREE GOLF
1986,first,0,1777,True,NORTHWEST THIRTY FOUR HEAVY YOU THREE FROM LONER TURN LEFT HEADING TWO EIGHT ZERO CROSS LONER AT THREE THOUSAND OR ABOVE CLEARED FOR THE I L S D M E RUNWAY TWO SEVEN APPROACH
1986,first,0,19415,True,FOURTEEN FOURTEEN BACK TO ONE NINE ZERO
1986,first,0,22252,True,ZERO EIGHT ZERO DELTA TEN FORTY SIX
1986,first,0,4763,True,RIGHT TWO SEVENTY DELTA TWO TWENTY FIVE HEAVY
1986,first,0,26516,True,AMERICAN FOUR NINETY EIGHT REGIONAL GROUND INFORMATION ROMEO IS NOW CURRENT I WANT YOU TO FOLLOW THE COMPANY SEVEN SIXTY SEVEN OFF TO YOUR LEFT AND THEN STANDARD TAXI RUNWAY THREE FIVE LEFT
1986,first,0,15173,True,HENSON FORTY FOUR SEVENTY NINE CLEARED TO LAND THREE THREE TO HOLD SHORT OF THREE SIX FOR LANDING TRAFFIC THE WIND TWO SEVEN ZERO SEVEN
1986,first,0,21936,True,SOUTHWEST TWO OH NINE TURN LEFT HEADING OF TWO SEVEN ZERO CLIMB AND MAINTAIN AH ONE SEVEN THOUSAND
1986,first,0,8900,True,NORTHWEST FIVE FIFTY ONE TURN LEFT HEADING TWO ONE ZERO
1986,first,0,9169,True,AMERICAN THREE NINETY THREE TURN RIGHT HEADING TWO THREE ZERO
1986,first,0,13671,True,(UNINTELLIGIBLE)
1986,first,0,27284,True,AMERICAN TWO FORTY ROGER RIGHT TURN ON THIRTY TWO CROSS THIRTY TWO BRIDGE ARRIVAL GROUND ONE THREE FOUR POINT ZERO FIVE ON TOP
1986,first,0,19286,True,RIGHT HEADING ONE ZERO ZERO AMERICAN ONE SIXTY FOUR
1986,first,0,21365,True,AMERICAN EIGHT SIXTY SEVEN TRAFFIC TWELVE O'CLOCK THREE MILES SOUTHEAST BOUND AT ONE ONE THOUSAND HE'S SOUTHWEST BOUND
1986,first,0,17722,True,HENSON FORTY FOUR FIFTY TWO RUNWAY THREE THREE TAXI IN POSITION AND HOLD TRAFFIC DEPARTING RUNWAY THREE SIX
1986,first,0,27790,True,CONTINENTAL TWO EIGHTY SEVEN CROSS RUNWAY THREE FIVE RIGHT HOLD SHORT OF THREE FIVE LEFT
1986,first,0,18045,True,AMERICAN THREE FIFTY ONE DEPARTURE BETWEEN YOU COMPANY ON AH TRAFFIC ON SHORT FINAL REDUCE AS MUCH AS FEASIBLE PLEASE
1986,first,0,4802,True,CLIMBING TO TEN THOUSAND SPEED RESTRICTION CONTINENTAL TRIPLE THREE
1986,first,0,9023,True,AMERICAN FIVE THIRTY SEVEN HEADING OF TWO ZERO ZERO
1986,first,0,15609,True,DELTA THREE NINETY NINE CLEARED FOR TAKEOFF RUNWAY THREE SIX
1986,first,0,12101,True,SIX FOR FOUR THOUSAND U S AIR ONE FIFTY FIVE
1986,first,0,12066,True,DELTA SEVENTEEN FORTY NINE TURN LEFT HEADING ONE EIGHT ZERO
