seed,pass,batch,ID,is_finite,loss,wrd
1987,second,0,11910,True,0.0,ONE NINETEEN ONE THANK YOU GOOD DAY
1987,second,1,5425,True,3.794675350189209,EIGHTEEN TWENTY FIVE SO LONG
1987,second,2,17701,True,3.2760398387908936,YEAH ANY CHANCE OF THIRTY SIX
1987,second,3,18902,True,2.7985219955444336,ONE NINETY DELTA THREE EIGHTY SIX
1987,second,4,29231,True,3.1800782680511475,UNITED FOUR FIFTY WE 'LL HOLD SHORT
1987,second,5,23449,True,2.593360424041748,ONE NINETY ASEA FOUR SIXTY SIX
1987,second,6,10856,True,2.550724983215332,ROGER REDUCE TO ONE NINER ZERO KNOTS
1987,second,7,15447,True,2.9548213481903076,GOOD DAY BIZEX SIX THIRTY EIGHT
1987,second,8,25639,True,2.8553473949432373,THIRTY-TWO ONE DELTA FOUR TWENTY-SIX
1987,second,9,10069,True,2.5325980186462402,ONE ONE THOUSAND HOTEL CHARLIE
1987,second,10,435,True,2.859239101409912,CACTUS EIGHT TWENTY SIX ROGER
1987,second,11,13599,True,2.7369942665100098,MIDEX FOUR FIFTEEN ANY LEFT TURN
1987,second,12,16498,True,3.103158950805664,EIGHTEEN THIRTY SEVEN
1987,second,13,2409,True,2.8975822925567627,OKAY THIRTY EIGHT TWENTY FIVE
1987,second,14,11791,True,3.7770843505859375,SIXTY FIVE ELEVEN
1987,second,15,20731,True,3.4633047580718994,YEAH IT LOOKS REAL GOOD RIGHT NOW
1987,second,16,11715,True,2.788132667541504,EXPECT ABOUT A TEN MILE FINAL
1987,second,17,19292,True,2.7975504398345947,SEVEN NINETY FOUR ROGER
1987,second,18,24621,True,3.030606985092163,AMERICAN ONE SEVENTY EIGHT APPROACH
1987,second,19,24202,True,2.7039785385131836,ONE NINETY AND SWITCHING GOOD DAY
1987,second,20,5593,True,3.690864324569702,FOUR FIFTY NINE
1987,second,21,21434,True,0.0,THREE TWO EIGHTY-FIVE WE'LL SEE YOU
1987,second,22,15407,True,2.857262372970581,AH WE TAKE IT TO THE END THANK YOU
1987,second,23,11379,True,2.6436331272125244,GOOD DAY UNITED SIXTEEN NINETY FOUR
1987,second,24,13168,True,0.0,REPORT THE FIELD FORTY FOUR TWENTY ONE
1987,second,25,17293,True,2.609497308731079,EAGLE ONE WASHINGTON TOWER
1987,second,26,8095,False,nan,AH DELTA WHISKEY YOU'RE UNREADABLE
1987,second,0,11910,True,0.0,ONE NINETEEN ONE THANK YOU GOOD DAY
1987,second,1,5425,True,3.800382614135742,EIGHTEEN TWENTY FIVE SO LONG
1987,second,2,17701,True,3.289537191390991,YEAH ANY CHANCE OF THIRTY SIX
1987,second,3,18902,True,2.734851598739624,ONE NINETY DELTA THREE EIGHTY SIX
1987,second,4,29231,True,3.2470717430114746,UNITED FOUR FIFTY WE 'LL HOLD SHORT
1987,second,5,23449,True,2.734530210494995,ONE NINETY ASEA FOUR SIXTY SIX
1987,second,6,10856,True,2.5541703701019287,ROGER REDUCE TO ONE NINER ZERO KNOTS
1987,second,7,15447,True,2.943894386291504,GOOD DAY BIZEX SIX THIRTY EIGHT
1987,second,8,25639,True,3.471541166305542,THIRTY-TWO ONE DELTA FOUR TWENTY-SIX
1987,second,9,10069,True,2.5676229000091553,ONE ONE THOUSAND HOTEL CHARLIE
1987,second,10,435,True,2.8318817615509033,CACTUS EIGHT TWENTY SIX ROGER
1987,second,11,13599,True,2.7122418880462646,MIDEX FOUR FIFTEEN ANY LEFT TURN
1987,second,12,16498,True,2.7652080059051514,EIGHTEEN THIRTY SEVEN
1987,second,13,2409,True,2.649982213973999,OKAY THIRTY EIGHT TWENTY FIVE
1987,second,14,11791,True,3.385770797729492,SIXTY FIVE ELEVEN
1987,second,15,20731,True,3.866455316543579,YEAH IT LOOKS REAL GOOD RIGHT NOW
1987,second,16,11715,True,2.712908983230591,EXPECT ABOUT A TEN MILE FINAL
1987,second,17,19292,True,2.519653797149658,SEVEN NINETY FOUR ROGER
1987,second,18,24621,True,3.195383071899414,AMERICAN ONE SEVENTY EIGHT APPROACH
1987,second,19,24202,True,2.771674871444702,ONE NINETY AND SWITCHING GOOD DAY
1987,second,20,5593,True,3.895660400390625,FOUR FIFTY NINE
1987,second,21,21434,True,0.0,THREE TWO EIGHTY-FIVE WE'LL SEE YOU
1987,second,22,15407,True,3.0307345390319824,AH WE TAKE IT TO THE END THANK YOU
1987,second,23,11379,True,2.6316096782684326,GOOD DAY UNITED SIXTEEN NINETY FOUR
1987,second,24,13168,True,0.0,REPORT THE FIELD FORTY FOUR TWENTY ONE
1987,second,25,17293,True,2.613558769226074,EAGLE ONE WASHINGTON TOWER
1987,second,26,8095,True,2.9882514476776123,AH DELTA WHISKEY YOU'RE UNREADABLE
1987,second,27,18505,True,2.5755107402801514,OKAY WE'LL MAINTAIN ONE NINETY
1987,second,28,20503,True,2.7109832763671875,ZERO EIGHT ZERO SEVEN OH SIX
1987,second,29,7349,True,2.776254892349243,TWO SEVEN TWO THANKS FOR YOUR HELP
1987,second,30,10201,True,3.280831813812256,OKAY THANKS A LOT SIR
1987,second,31,7588,True,0.0,WE BE LOOKING DELTA SEVEN THIRTY ONE
1987,second,32,186,True,2.193035840988159,ONE NINETEEN ONE GOOD DAY
1987,second,33,9052,True,2.975630283355713,AND FLY HEADING TWO FIVE ZERO
1987,second,34,15822,True,0.0,TROOPER EIGHT FREQUENCY CHANGE APPROVED WE'LL SEE YOU LATER
1987,second,35,12687,True,2.604994535446167,DOWN TO THREE SEVENTEEN SIXTY FIVE
1987,second,36,19187,True,0.0,ONE THREE ZERO AMERICAN TWELVE SEVENTY FOUR
1987,second,37,19388,True,2.7641775608062744,FIVE THOUSAND FOURTEEN FOURTEEN
1987,second,38,10515,True,2.935839891433716,WE'RE LOOKING ONE PAPA HOTEL
